Operon,Length (nt),ID,Bin #,Posi,Posi_err,Lifetime,Lifetime_err,Chisq
thrLABC,4831,1,0,0.0167952,0.0727031,1.80595,0.0433321,203.706
thrLABC,4831,1,1,-0.262419,0.26816,3.40423,0.207254,11.3772
thrLABC,4831,1,2,-0.165712,0.259134,3.36143,0.199294,18.1508
thrLABC,4831,1,3,1.08377,0.281784,2.71398,0.194196,9.36144
thrLABC,4831,1,4,1.17753,0.312502,3.30889,0.248703,4.47463
thrLABC,4831,1,5,1.30585,0.245042,2.8327,0.177241,20.1385
thrLABC,4831,1,6,2.5486,0.350314,2.86582,0.278141,6.80285
thrLABC,4831,1,7,2.34585,0.310385,2.71078,0.222703,10.9983
thrLABC,4831,1,8,-0.265813,0.263574,3.98177,0.227838,13.6365
thrLABC,4831,1,9,0.645666,0.304959,3.90497,0.277868,15.7869
thrLABC,4831,1,10,1.22478,0.260933,3.41768,0.216851,16.6932
thrLABC,4831,1,11,1.47114,0.533049,5.58555,0.702238,13.3836
thrLABC,4831,1,12,1.85215,0.374549,4.67109,0.426301,11.0485
thrLABC,4831,1,13,3.13607,0.405815,3.62111,0.422409,3.79607
thrLABC,4831,1,14,2.78595,0.386695,4.01009,0.430779,9.33662
thrLABC,4831,1,15,2.51335,0.355783,3.5885,0.339925,14.5639
yaaA,777,3,0,0.0796751,0.183965,2.31985,0.113509,10.3445
yaaA,777,3,1,1.32408,0.163131,1.90764,0.09677,9.70699
talB,954,5,0,0.275148,0.105597,5.4021,0.120832,16.1737
talB,954,5,1,0.962484,0.0894822,4.57056,0.0964011,18.3556
talB,954,5,2,0.947257,0.114377,5.11907,0.134877,11.5414
mog,588,6,0,0.174672,0.148771,2.83538,0.103789,31.3208
yaaH,567,7,0,-0.362131,0.52102,7.09375,0.718692,7.95878
dapB,822,13,0,-0.417036,0.413455,5.73358,0.465955,23.9268
dapB,822,13,1,1.62872,0.367171,4.85201,0.409541,11.9961
folA,480,18,0,0.256648,0.0890695,1.79282,0.0541128,25.7387
djlA,816,19,0,0.166541,0.206968,1.69058,0.121768,14.2845
djlA,816,19,1,0.384839,0.174172,2.0222,0.110276,8.64795
hepA,2907,21,0,0.557745,0.0972212,1.90688,0.0572157,24.2006
hepA,2907,21,1,1.55112,0.151001,1.91498,0.0843917,19.4471
hepA,2907,21,2,1.44178,0.109646,2.08788,0.0682283,22.6342
hepA,2907,21,3,1.37291,0.0902803,1.82047,0.0524924,45.7674
hepA,2907,21,4,1.37046,0.105439,2.06247,0.0638921,40.9735
hepA,2907,21,5,1.35112,0.12181,2.24445,0.0761815,34.372
hepA,2907,21,6,2.6594,0.113035,1.76702,0.0661493,29.1202
hepA,2907,21,7,3.19966,0.143239,1.72069,0.0858179,12.8205
hepA,2907,21,8,2.84572,0.180559,2.18613,0.124646,16.2541
sgrST-setA,1433,27,0,11.2793,0.180559,168.001,0.124646,16.2541
sgrST-setA,1433,27,1,11.2793,0.180559,3,0.124646,16.2541
sgrST-setA,1433,27,2,11.2793,0.180559,3,0.124646,16.2541
sgrST-setA,1433,27,3,11.2793,0.180559,3,0.124646,16.2541
fruR,1005,30,0,0.590842,0.112948,1.76256,0.0670938,8.76325
fruR,1005,30,1,0.815202,0.164578,1.80119,0.104592,12.6387
fruR,1005,30,2,1.50494,0.220236,1.62971,0.118459,14.3115
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,0,0.261374,0.0703228,1.62128,0.042865,114.322
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,1,0.76984,0.0643476,1.38235,0.0396286,49.9855
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,2,0.881601,0.0833707,1.38381,0.0534679,70.2656
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,3,0.949255,0.0682887,1.20631,0.0438858,81.4711
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,4,1.40362,0.0610263,1.16754,0.0373715,168.011
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,5,1.63795,0.0889354,1.01692,0.0480315,70.1136
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,6,1.90321,0.0744721,0.955895,0.0428067,66.219
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,7,1.74276,0.131313,0.975098,0.072793,33.3102
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,8,0.877932,0.141023,1.35934,0.0892258,62.7791
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,9,-4.22022,1.12079,31.138,3.90381,291.865
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,10,0.941145,0.148779,1.69046,0.0978397,56.0903
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,11,1.64155,0.190392,1.9781,0.110596,32.3886
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,12,3.25336,0.114677,1.38613,0.0631715,34.2233
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,13,3.81323,0.101635,1.29452,0.062427,20.6644
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,14,3.60631,0.0753648,1.2595,0.0434937,25.1877
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,15,3.52443,0.0925675,1.4612,0.0554081,39.2873
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,16,4.01495,0.122918,1.25742,0.0635463,27.4011
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,17,4.63736,0.093288,1.19576,0.0566518,12.4281
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,18,4.64731,0.0915802,1.23996,0.0563909,3.46306
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,19,4.69892,0.0979806,1.26962,0.0625318,6.49922
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,20,4.85907,0.0901471,1.17298,0.0580471,24.7276
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,21,5.20591,0.129892,0.978724,0.0657126,26.4642
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,22,3.70651,0.103245,1.72795,0.0679366,88.2352
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,23,5.60263,0.127411,1.165,0.0853807,43.828
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,24,5.73179,0.0911462,1.08471,0.0609302,30.8529
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,25,4.92798,0.0978268,1.58567,0.074098,87.9527
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,26,4.77777,0.0804305,1.4665,0.054935,178.519
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,27,4.91186,0.0781663,1.52675,0.0571385,116.392
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,28,6.14028,0.13328,1.08889,0.089944,61.2641
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,29,5.70831,0.106848,1.35105,0.0791427,115.822
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,30,5.79789,0.103165,1.3179,0.0783228,91.0621
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,31,6.45807,0.109758,1.05399,0.085251,213.418
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,32,3.60684,0.203494,3.09645,0.199877,172.117
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,33,-0.316475,0.173972,4.68472,0.169096,257.23
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,34,0.0153085,0.415905,7.34971,0.604067,131.406
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,35,-0.211527,0.296325,7.02764,0.412326,154.903
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,36,-1.24187,0.579353,9.81067,0.950065,126.42
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,37,2.29281,0.257673,4.90667,0.3039,118.931
