Operon,length (nt),ID,Bin #,Posi,Posi_err,Lifetime,Lifetime_err,Chisq
yacC-speED,2130,45,0,-0.426467,0.165195,1.63394,0.0987375,58.9917
yacC-speED,2130,45,1,0.050524,0.344065,8.94443,0.608961,64.2856
yacC-speED,2130,45,2,-1.57069,0.455933,13.5485,0.964811,46.6127
yacC-speED,2130,45,3,-4.75525,2.11233,39.4763,8.79083,27.4316
yacC-speED,2130,45,4,-10,6.92839,78.0934,37.1438,36.2232
yacC-speED,2130,45,6,11.2521,5.95446,12.9206,49.0669,17.6639
sfsA-dksA,1338,56,0,1.27248,0.25668,2.02788,0.170369,57.3696
sfsA-dksA,1338,56,1,1.00062,0.454279,5.05197,0.510362,12.8845
sfsA-dksA,1338,56,2,-0.143831,0.524929,12.5308,1.27186,24.2501
sfsA-dksA,1338,56,3,0.197967,0.174269,9.33151,0.32505,84.0593
ppiB-lpxH,1220,246,0,1.68195,0.0786732,3.5682,0.0687197,55.3956
ppiB-lpxH,1220,246,1,0.875561,0.0994796,4.03148,0.0945082,51.3448
ppiB-lpxH,1220,246,2,0.638776,0.128021,1.44577,0.0765098,31.2357
ppiB-lpxH,1220,246,3,0.773,0.200713,1.72373,0.12781,17.979
tolB-pal-ybgF,2650,344,0,1.89199,0.0947422,2.69714,0.0680447,109.102
tolB-pal-ybgF,2650,344,1,3.38709,0.137721,2.2967,0.105328,17.5862
tolB-pal-ybgF,2650,344,2,3.45534,0.136779,2.51325,0.112881,32.7963
tolB-pal-ybgF,2650,344,3,4.35468,0.226918,5.83398,0.454509,69.0097
tolB-pal-ybgF,2650,344,4,-0.149828,0.111185,9.16089,0.196838,206.898
tolB-pal-ybgF,2650,344,5,4.74606,0.191512,8.44574,0.615471,61.6194
tolB-pal-ybgF,2650,344,6,4.99126,0.171764,5.82688,0.415112,157.768
tolB-pal-ybgF,2650,344,7,2.95227,0.185992,6.28392,0.321625,38.9882
flhBAE,3612,937,0,0.0606218,0.107994,0.959291,0.0635851,63.6396
flhBAE,3612,937,1,-4.72326,0.966596,4.50062,0.506284,155.811
flhBAE,3612,937,2,1.20881,0.155133,0.455209,0.103571,37.4454
flhBAE,3612,937,3,1.08368,0.0937114,0.79958,0.0532186,35.6842
flhBAE,3612,937,4,1.33269,0.0573685,0.753545,0.0364313,53.145
flhBAE,3612,937,5,1.39573,0.0433966,0.776367,0.0274325,60.6465
flhBAE,3612,937,6,1.48407,0.0413792,0.771766,0.0257274,68.3639
flhBAE,3612,937,7,1.82576,0.0473078,0.810702,0.0269617,57.6166
flhBAE,3612,937,8,1.79906,0.0524251,0.88634,0.0287751,58.4824
flhBAE,3612,937,9,1.84176,0.0615749,0.94614,0.0337755,49.0377
flhBAE,3612,937,10,1.69844,0.0879536,1.07434,0.0468117,51.8815
flhBAE,3612,937,11,1.80176,0.100034,1.13596,0.054788,41.9576
yejLM,2008,1083,0,0.90128,0.0678143,1.8966,0.0426554,19.5382
yejLM,2008,1083,1,0.307923,0.0900231,1.85703,0.0543954,20.2412
yejLM,2008,1083,2,0.412535,0.103222,1.29019,0.0665567,70.781
yejLM,2008,1083,3,0.996029,0.0849916,0.925427,0.0638242,66.6712
yejLM,2008,1083,4,0.853218,0.0954053,1.05725,0.0625646,32.6381
yejLM,2008,1083,5,1.28854,0.0721147,0.517536,0.0504625,86.6506
proVWX,3310,1291,0,-0.135477,0.0716262,1.57179,0.0444567,92.9741
proVWX,3310,1291,1,-0.202326,0.0800085,1.84858,0.0498737,136.746
proVWX,3310,1291,2,0.189536,0.0922861,1.8307,0.0572075,130.243
proVWX,3310,1291,3,-0.00704365,0.0884074,1.9955,0.0580579,131.647
proVWX,3310,1291,4,-0.213183,0.148109,2.22546,0.0971484,68.1301
proVWX,3310,1291,5,-0.031449,0.154873,2.76759,0.113277,62.2215
proVWX,3310,1291,6,0.276713,0.145986,2.6247,0.104948,125.226
proVWX,3310,1291,7,-1.372,0.455249,8.01372,0.616708,97.8443
proVWX,3310,1291,8,1.49523,0.498176,11.5026,1.31815,17.6522
proVWX,3310,1291,9,1.50137,0.319194,6.90025,0.493462,28.2787
proVWX,3310,1291,10,0.82181,0.444815,10.5876,1.00428,9.88969
yqjCDEK,1408,1495,0,2.10195,0.439602,4.46132,0.46309,11.398
yqjCDEK,1408,1495,1,-0.12565,0.385257,9.44448,0.707759,14.594
