Operon,Length (nt),ID,Elongation Rate (nt/s),Elongation Rate err,Chisq
gltIJKL-sroC,3218,315,1.44134,0.00738513,41185.1
lolA-rarA,1969,423,3.26078,0.103169,267.839
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,3.72883,0.00751385,70518
frmRAB,2347,161,3.84144,0.557203,82.2343
thrLABC,4831,1,4,0.0222701,1305.18
ampG,1476,195,4.15498,0.393418,17.7074
purEK,1574,245,4.31089,0.352943,35.2295
ybjJI,2024,401,4.60967,0.276195,72.8051
prpR,1587,154,4.67191,0.74739,66.46
mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17381,32,4.71124,0.0123506,50799.1
hflD-purB,2016,528,4.98355,0.206911,155.088
thiI,1449,192,5.0099,0.504378,32.4525
ppiD,1872,201,5.02513,0.26805,75.2605
flgK,2609,510,5.29903,0.305749,121.436
yaiU,1404,167,5.38116,0.595048,30.2552
ybbLM,1444,235,5.49211,0.459999,33.5324
ycaO,1761,432,5.61483,0.328746,67.4536
torS,2745,472,5.86279,0.393006,214.431
rpsMKD-rpoA-rplQ,2856,1566,5.88317,0.0508527,12233.7
ybjL,1686,404,5.89737,0.361271,76.4663
glnS,1665,323,6.14179,0.398736,69.511
ybbAP,3098,237,6.42122,0.521792,189.299
ybiT,1593,387,6.43407,0.412104,51.0579
nagK-cobB,1767,525,6.62407,0.344055,96.9171
fhuE,2190,516,6.68914,0.422148,226.788
ykgC,1326,139,6.72341,0.799047,15.5353
asnB,1665,319,6.75324,0.614173,165.3
yeaGH,3331,875,6.81421,0.24963,190.539
mntR-ybiR,1583,385,6.82531,0.424948,69.7979
yajR,1365,194,6.90272,0.652653,20.279
cysS,1386,247,7.05385,0.539725,28.4534
ydhIJK,3109,805,7.05824,0.309708,241.043
rnb,1935,614,7.07702,0.314908,129.731
ylaB,1551,215,7.17897,0.817589,79.8064
dhaR,1920,569,7.20328,0.379294,153.194
moeAB,1985,391,7.21709,0.488026,137.633
cvrA,1737,562,7.23156,0.361763,98.8827
manXYZ,2699,901,7.32476,0.278338,194.816
pepD,1458,108,7.36848,1.29775,33.5288
ycbZ,1761,453,7.4111,0.483176,183.93
yncD,2103,701,7.52983,0.342634,153.478
miaB,1425,317,7.55855,0.512355,39.2149
yphFED,3541,1225,7.60387,0.200199,898.971
yadE,1230,52,7.87814,3.61368,0.0473694
atoSC,3209,1095,7.96148,0.255305,276.684
ydcP,1962,690,8.08619,0.3733,155.332
iaaA-gsiABCD,6234,392,8.19007,0.135631,650.863
pheP,1377,276,8.38693,0.623895,29.6107
phoBR,2043,184,8.41215,1.6443,110.645
flgBCDEFGHIJ,7295,509,8.4796,0.132186,1118.16
ybaL,1677,227,8.55366,0.894378,126.269
mltD,1359,90,8.65732,1.24358,107.951
ybcLM,1359,259,8.67402,0.652903,25.6807
btuCED,2344,843,8.7216,0.353268,221.27
dinG,2151,371,8.74062,0.769945,192.078
yebST,3886,910,8.76474,0.336684,297.766
murJ,1536,508,8.77849,0.468593,85.7703
lon,2355,199,8.82699,2.00208,134.654
dcp,2046,748,8.98548,0.418483,237.047
sucABCD,6344,339,9.00672,0.0468527,12835.5
cydAB,2724,342,9.02965,0.272385,1000.12
ushA,1653,229,9.32966,1.14631,112.609
treA,1698,568,9.35494,0.518523,183.554
ypdABC,3317,1158,9.48586,0.330262,300.03
ygfK-ssnA,4430,1382,9.48673,0.289116,310.921
eutBCLKR,4550,1182,9.54946,0.351342,422.976
yafDE,1428,89,9.5527,1.87254,28.2507
nhaB,1542,558,9.60665,0.485109,102.337
ydeN,1683,724,9.6225,0.413522,141.409
emrRAB,3385,1294,9.65416,0.30196,297.699
yeiTA,2468,1057,9.65454,0.347725,235.648
mppA,1614,630,9.67368,0.453733,112.994
proVWX,3310,1291,9.74089,0.312718,310.912
pqiAB,2899,449,9.77313,0.777835,321.473
nudF-yqiB-cpdA-yqiA-parE,4407,1454,9.78016,0.230929,604.037
trg,1641,678,9.98902,0.450863,130.33
yehUT,2402,1043,10.0276,0.373273,263.657
glpTQ,2440,1102,10.0385,0.36009,333.754
xdhABC,3624,1372,10.0828,0.3111,315.553
rstAB,2034,787,10.0964,0.332401,293.492
mdoD,1656,681,10.1434,0.474943,150.965
yecN-cmoAB,2148,931,10.1789,0.410857,268.392
purL,3888,1232,10.1973,0.377845,473.116
maeA,1698,718,10.3,0.425836,149.145
malXY,2775,794,10.3758,0.557262,398.374
pabB-nudL,1944,897,10.3949,0.41457,211.022
yoaA,1911,893,10.417,0.412176,187.415
nrdHIEF,3739,1290,10.4325,0.364944,427.62
yifL-dapF-yigA-xerC-yigB,3378,1765,10.5454,0.220859,1140.25
ygfM-xdhD,3647,1383,10.5615,0.353515,259.739
sdaCB,2715,1332,10.659,0.300582,391.312
sppA,1857,866,10.7001,0.437555,200.237
yegE,3318,1017,10.7622,0.460276,466.017
bglX,2298,1045,10.8543,0.422503,386.433
ydcSTUV,3903,694,10.8548,0.352884,600.407
tehAB,1583,683,10.8569,0.486287,132.985
rcsC,2802,1094,10.8636,0.440994,459.29
yhdWXYZ,4046,1562,10.9301,0.321886,420.835
hipBA,1589,728,11.0847,0.468373,135.976
fruBKA,3777,1070,11.1179,0.491054,533.015
katE,2262,856,11.1337,0.561879,518.355
dbpA-C0343,1522,642,11.1668,0.527059,127.102
maeB,2280,1191,11.2209,0.360103,278.84
ppk-ppx,3613,1206,11.2417,0.318302,451.774
seqA-pgm,2212,326,11.2735,0.786323,191.058
rpoZ-spoT-trmH-recG,5186,1705,11.3106,0.268512,620.344
barA,2757,1327,11.3724,0.371723,331.899
ptsG,1434,515,11.4691,0.601814,80.5722
rppH-ptsP,2790,1344,11.4787,0.318459,354.042
mutS,2562,1309,11.4904,0.375039,301.523
yfeA,2190,1165,11.5783,0.40412,302.978
rhlE,1365,369,11.6427,0.728121,46.7956
gsk,1305,226,11.6659,0.982963,22.7847
ycgB,1533,560,11.6664,0.625112,208.885
narXL,2440,582,11.6868,0.902122,383.091
bcsEFG,3436,1657,11.7927,0.314561,455.312
guaBA,3113,1210,11.8153,0.422058,489.493
dmsABC,3938,425,11.8357,1.45264,338.447
argS,1734,935,11.8885,0.452635,183.441
ygfB-pepP-ubiH-visC,4330,1395,11.9667,0.274109,562.782
ansA-pncA,1669,867,12.0256,0.4844,176.63
yejLM,2008,1083,12.0465,0.433472,248.501
fadD-sroD,1730,892,12.1303,0.505448,259.206
ybaE,1701,205,12.1365,2.04184,171.348
hyaABCDEF,5468,465,12.1879,0.953251,313.7
feaB,1500,660,12.2034,0.557507,132.611
uxaCA,2915,1491,12.2112,0.377649,408.421
trmC,2007,1132,12.2797,0.429469,243.691
lldPRD,3619,1693,12.4806,0.356604,441.971
aroF-tyrA,2203,1250,12.5072,0.423545,320.518
ydhS,1605,822,12.5202,0.504294,156.027
acnA,2676,609,12.615,0.882801,435.124
dppABCDF,5842,1661,12.6191,0.299426,738.993
tolB-pal-ybgF,2650,344,12.7139,0.681443,4045.69
aspS,1773,929,12.8008,0.540059,393.448
ansP,1500,703,12.8432,0.566744,126.055
frsA,1245,110,12.8634,1.64801,1.83352
metG,2034,1037,13.0447,0.545556,470.49
asmA,1854,1016,13.0476,0.514611,341.749
yihXY-dtd-yiiD,2886,1804,13.0849,0.313791,545.238
aegA,1980,1194,13.0947,0.442633,253.674
prpBCDE,5911,155,13.1447,0.327409,1021.09
helD,2055,457,13.234,1.42417,351.435
xylAB,2849,1676,13.2696,0.373308,406.837
