RNA,ID,Length,total fragments,Avg lifetime,StdDev
thrLABC,1,4831,7,4.427747143,0.666882105
yaaA,3,777,2,4.24839,0.22357
yaaJ,4,1431,4,2.5168125,0.46353455
talB,5,954,3,6.265736667,0.326378548
mog,6,588,1,5.7906,0
yaaH,7,567,1,9.0264,0
yaaI,8,405,1,4.03995,0
rihC,12,915,3,8.183926667,0.495557182
dapB,13,822,2,4.59129,0.31972
caiF,14,396,1,3.87712,0
kefFC,17,2386,6,4.312446667,0.521203464
folA,18,480,1,4.04681,0
djlA,19,816,2,3.653965,0.042345
hepA,21,2907,6,4.623611667,0.65635372
polB,22,2352,6,2.981756667,0.972444008
araC,24,879,2,3.97744,0.02501
yabI,25,765,2,4.75077,0.1641
sgrST-setA,27,1433,4,7.355175,5.488578261
ilvIH,29,2219,6,5.19666,0.375828031
fruR,30,1005,3,3.801016667,0.062863581
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,31,17841,6,4.035208333,0.214783129
mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,32,17381,6,4.035986667,0.159739208
lpxC,33,918,3,19.41783333,2.630006507
secMA-mutT,34,3729,6,5.591533333,0.795126866
guaC,35,1044,3,21.14376667,2.03874864
nadC,37,894,2,4.032005,0.054365
ampDE,38,1403,4,5.1492475,0.493183896
aroP,39,1374,4,5.1358575,0.392684651
aceEF,40,4571,6,6.303783333,0.309416923
lpdA,41,1425,4,5.9658225,0.395185783
yacH,42,1854,6,4.547096667,0.657405979
acnB,43,2598,6,10.37284167,1.711546
yacL,44,363,1,8.29532,0
yacC-speED,45,2130,6,5.167061667,0.773234234
cueO,46,1551,5,6.22021,0.251091525
gcd,47,2391,6,3.999263333,0.601894318
hpt,48,537,1,4.83347,0
can,49,663,2,4.135785,0.069685
yadGH,50,1694,5,4.023858,2.038362399
yadI,51,441,1,5.38958,0
yadE,52,1230,4,4.39118,0.319898621
panD,53,381,1,5.05257,0
sfsA-dksA,56,1338,4,7.4443525,1.435550131
ligT,57,531,1,3.92424,0
hrpB,58,2430,6,4.095008333,0.47752608
mrcB,59,2535,6,4.660036667,0.632126114
hemL,61,1281,4,7.618235,0.340187705
clcA,62,1422,4,2.949865,0.473904439
erpA,63,345,1,6.39658,0
