Operon,Length (nt),ID,Bin #,Lifetime,Lifetime_err,Elongation Rate (nt/s),Elongation Rate err,Synthesis time,SynT/LT
thrLABC,4831,1,0,1.80595,0.0433321,4,0.0138094,20.12916667,11.14602656
mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17381,32,0,1.40056,0.0518953,27.0963,0.255428,10.69088153,7.633290637
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,0,1.62128,0.042865,27.23,0.262575,10.91994124,6.735382686
rfe-wzzE-rffEDGHCA-wzxE-rffT-wzyE-rffM,12781,1757,0,1.70971,0.0448409,20.1445,0.189334,10.57443305,6.184927885
pqiAB,2899,449,0,1.64567,0.140454,7.65812,0.341793,6.309207308,3.833822885
rcsC,2802,1094,0,0.833934,0.0785958,14.9866,0.531047,3.116117065,3.736647102
smtA-mukFEB,7250,437,0,1.663,0.0779142,20.5727,0.453387,5.873479579,3.531857835
flgBCDEFGHIJ,7295,509,0,1.97403,0.0305234,17.8746,0.203363,6.802017015,3.445751592
mfd,3447,522,0,1.18931,0.0854087,15.1886,0.790511,3.782442095,3.180366847
hflD-purB,2016,528,0,1.41331,0.0629217,8.22446,0.377615,4.085374602,2.89064296
rstAB,2034,787,0,0.77986,0.0351244,15.2093,0.633953,2.228899423,2.858076351
hybOABCDEFG,6546,1432,0,2.04594,0.0842086,19.6366,0.409465,5.555951641,2.715598523
malK-lamB-malM,3691,1873,0,1.14973,0.0388777,20.6248,0.521307,2.982655185,2.594222283
dinG,2151,371,0,1.41902,0.129212,9.99611,0.806905,3.586395108,2.527374602
moeAB,1985,391,0,1.802,0.203196,7.40601,0.455774,4.467092717,2.478963772
lldPRD,3619,1693,0,1.42851,0.0712098,18.7575,0.493456,3.215602648,2.251018647
ampG,1476,195,0,1.46895,0.0615291,7.51374,0.71171,3.274002028,2.228804267
flhBAE,3612,937,0,0.959291,0.0635851,28.2338,1.3159,2.132196162,2.22267921
